"Traditional - The Parting Glass
First Line","1. [Verse]
1. <Am>-- <F>-- <C>-- <G>-- <G>--      Oh all the money that e'er had"
"Traditional - The Parting Glass
1. [Verse]
1. <Am>-- <F>-- <C>-- <G>-- <G>--      Oh all the money that e'er had","1. [Verse]
2. <Am>-- <F>-- <C>-- <G>-- <G>--      I spent it in good company"
"Traditional - The Parting Glass
1. [Verse]
2. <Am>-- <F>-- <C>-- <G>-- <G>--      I spent it in good company","1. [Verse]
3. <Am>-- <F>-- <C>-- <G>-- <G>--      And of all the harm that e'er I've done"
"Traditional - The Parting Glass
1. [Verse]
3. <Am>-- <F>-- <C>-- <G>-- <G>--      And of all the harm that e'er I've done","1. [Verse]
4. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Alas, it was to none but me"
"Traditional - The Parting Glass
1. [Verse]
4. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Alas, it was to none but me","1. [Verse]
5. <C>-- <F>-- <F>--                   For all I've done"
"Traditional - The Parting Glass
1. [Verse]
5. <C>-- <F>-- <F>--                   For all I've done","1. [Verse]
6. <C>-- <F>-- <F>--                   For want of wit"
"Traditional - The Parting Glass
1. [Verse]
6. <C>-- <F>-- <F>--                   For want of wit","1. [Verse]
7. <Dm>-- <G>-- <Am>-- <G>-- <G>--     To memory now I can't recall"
"Traditional - The Parting Glass
1. [Verse]
7. <Dm>-- <G>-- <Am>-- <G>-- <G>--     To memory now I can't recall","1. [Verse]
8. <Am>-- <F>-- <C>-- <G>-- <G>--      So fill to me the parting glass"
"Traditional - The Parting Glass
1. [Verse]
8. <Am>-- <F>-- <C>-- <G>-- <G>--      So fill to me the parting glass","1. [Verse]
9. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Good night and joy be with you all"
"Traditional - The Parting Glass
1. [Verse]
9. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Good night and joy be with you all","2. [Verse]
1. <Am>-- <F>-- <C>-- <G>-- <G>--      Of all the comrades that e'er I've had"
"Traditional - The Parting Glass
1. [Verse]
9. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Good night and joy be with you all","2. [Verse]
2. <Am>-- <F>-- <C>-- <G>-- <G>--      They're sorry for my going away"
"Traditional - The Parting Glass
1. [Verse]
9. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Good night and joy be with you all","2. [Verse]
3. <Am>-- <F>-- <C>-- <G>-- <G>--      And of all the sweethearts that e'er I've had"
"Traditional - The Parting Glass
1. [Verse]
9. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Good night and joy be with you all","2. [Verse]
4. <Am>-- <C>-- <G>-- <Am>-- <Am>--    They'd wish me one more day to stay"
"Traditional - The Parting Glass
1. [Verse]
9. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Good night and joy be with you all","2. [Verse]
5. <C>-- <F>-- <F>--                   But as it falls"
"Traditional - The Parting Glass
1. [Verse]
9. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Good night and joy be with you all","2. [Verse]
6. <C>-- <F>-- <F>--                   unto my lot"
"Traditional - The Parting Glass
1. [Verse]
9. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Good night and joy be with you all","2. [Verse]
7. <Dm>-- <G>-- <Am>-- <G>-- <G>--     That I must go and you must not"
"Traditional - The Parting Glass
1. [Verse]
9. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Good night and joy be with you all","2. [Verse]
8. <Am>-- <F>-- <C>-- <G>-- <G>--      I'll gently rise and I'll softly call"
"Traditional - The Parting Glass
1. [Verse]
9. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Good night and joy be with you all","2. [Verse]
9. <Am>-- <C>-- <G>-- <Am>-- <Am>--    Good night and joy be with you all"
